time,x,y,vx,vy
0,0,0,10,15
0.01,0.0999500166625,0.14943518828625002,9.99000499833375,14.887056481171374
0.02,0.19980013326669166,0.2977415059136158,9.980019986673332,14.774225849408637
0.03,0.29955044966269995,0.444920081188509,9.970044955033732,14.661507991881148
0.04,0.3992010656008495,0.5909720412895988,9.960079893439916,14.548902795871038
0.05,0.4987520807317646,0.7358985122689391,9.950124791926825,14.436410148773104
0.060000000000000005,0.5982035946064687,0.8797006190530947,9.940179640539355,14.32402993809469
0.07,0.6975557066764838,1.022379485444266,9.930244429332355,14.211762051455572
0.08,0.7968085162939305,1.163936234121413,9.92031914837061,14.099606376587857
0.09,0.8959621227116265,1.3043719866413779,9.91040378772884,13.98756280133586
0.09999999999999999,0.9950166250831866,1.4436878634400063,9.900498337491683,13.875631213655998
0.10999999999999999,1.0939721224631214,1.5818849838332685,9.89060278775369,13.763811501616672
0.11999999999999998,1.1928287138069364,1.718964466018378,9.880717128619308,13.652103553398161
0.12999999999999998,1.2915864979712313,1.85492742707491,9.870841350202879,13.540507257292509
0.13999999999999999,1.3902455737137984,1.989774982965919,9.860975442628622,13.429022501703407
0.15,1.488806039693722,2.1235082485390535,9.85111939603063,13.317649175146094
0.16,1.5872679944714758,2.2561283375276715,9.841273200552854,13.206387166247232
0.17,1.685631536509023,2.387636362551955,9.8314368463491,13.095236363744803
0.18000000000000002,1.783896764169914,2.518033435120022,9.82161032358301,12.984196656487997
0.19000000000000003,1.8820637757193843,2.6473206656290373,9.811793622428064,12.873267933437095
0.20000000000000004,1.9801326693244539,2.775499163366324,9.801986733067558,12.762450083663367
0.21000000000000005,2.0781035430540244,2.902570036510472,9.7921896456946,12.651742996348952
0.22000000000000006,2.175976494878978,3.0285343921324466,9.782402350512106,12.541146560786755
0.23000000000000007,2.2737516226722745,3.1533933361966957,9.772624837732776,12.43066066638033
0.24000000000000007,2.37142902420905,3.2771479735622555,9.762857097579099,12.320285202643774
0.25000000000000006,2.4690087971667136,3.3997994079838554,9.753099120283332,12.210020059201614
0.26000000000000006,2.566491039125047,3.5213487421130214,9.743350896087499,12.099865125788698
0.2700000000000001,2.6638758475663,3.64179707749918,9.733612415243373,11.989820292250082
0.2800000000000001,2.761163319875289,3.7611455145907575,9.723883668012475,11.879885448540923
0.2900000000000001,2.8583535533394953,3.8793951527362833,9.714164644666054,11.77006048472637
0.3000000000000001,2.9554466451491592,3.9965470901854867,9.704455335485088,11.66034529098145
0.3100000000000001,3.0524426923973813,4.1126024240903964,9.694755730760265,11.550739757590959
0.3200000000000001,3.1493417920802167,4.2275622505064385,9.685065820791982,11.441243774949355
0.3300000000000001,3.2461440410967737,4.34142766439353,9.675385595890326,11.331857233560646
0.34000000000000014,3.3428495362493087,4.454199759617175,9.665715046375073,11.222580024038281
0.35000000000000014,3.4394583742433253,4.565879628949562,9.656054162575671,11.113412037105043
0.36000000000000015,3.5359706516876694,4.676468364070649,9.646402934831237,11.004353163592935
0.37000000000000016,3.6323864650946267,4.785967055569264,9.636761353490542,10.895403294443073
0.38000000000000017,3.7287059108800182,4.894376792944189,9.627129408912003,10.78656232070558
0.3900000000000002,3.8249290853632982,5.00169866460525,9.617507091463676,10.677830133539473
0.4000000000000002,3.921056084767649,5.107933757874411,9.60789439152324,10.569206624212557
0.4100000000000002,4.017087005220078,5.213083158986857,9.598291299477998,10.460691684101311
0.4200000000000002,4.113021942751513,5.317147953092077,9.588697805724854,10.352285204690789
0.4300000000000002,4.2088609932969,5.420129224254956,9.579113900670315,10.2439870775745
0.4400000000000002,4.304604252695299,5.522028055456857,9.569539574730475,10.13579719445431
0.45000000000000023,4.400251816689975,5.6228455285967,9.559974818331007,10.027715447140327
0.46000000000000024,4.495803780928502,5.722582724492048,9.550419621907155,9.919741727550793
0.47000000000000025,4.591260240962851,5.821240722880187,9.54087397590372,9.811875927711979
0.48000000000000026,4.686621292249489,5.918820602419207,9.531337870775056,9.704117939758078
0.49000000000000027,4.781887030149478,6.015323440689076,9.521811296985057,9.596467655931091
0.5000000000000002,4.877057549928561,6.110750314192721,9.512294245007148,9.488924968580728
0.5100000000000002,4.9721329467572675,6.205102298357106,9.502786705324278,9.381489770164288
0.5200000000000002,5.067113315711002,6.298380467534305,9.493288668428905,9.274161953246567
0.5300000000000002,5.161998751770142,6.390585895002578,9.483800124822992,9.16694141049974
0.5400000000000003,5.25678934982013,6.481719652967438,9.474321065017993,9.059828034703255
0.5500000000000003,5.351485204651572,6.571782812562736,9.464851479534849,8.952821718743726
0.5600000000000003,5.446086410960332,6.660776443851718,9.455391358903972,8.845922355614828
0.5700000000000003,5.540593063347623,6.748701615828106,9.445940693665243,8.73912983841719
0.5800000000000003,5.635005256320105,6.835559396417161,9.436499474367995,8.632444060358285
0.5900000000000003,5.72932308428998,6.921350852476753,9.427067691571008,8.525864914752326
0.6000000000000003,5.823546641575084,7.006077049798424,9.417645335842497,8.419392295020158
0.6100000000000003,5.9176760223989815,7.089739053108463,9.408232397760107,8.313026094689153
0.6200000000000003,6.011711320891061,7.172337926068961,9.398828867910899,8.206766207393104
0.6300000000000003,6.105652631086629,7.253874731278879,9.389434736891342,8.100612526872112
0.6400000000000003,6.199500046927004,7.3343505302751115,9.380049995307305,7.994564946972488
0.6500000000000004,6.293253662259609,7.413766383533545,9.370674633774044,7.888623361646645
0.6600000000000004,6.386913570838067,7.492123350470123,9.361308642916198,7.782787664952988
0.6700000000000004,6.480479866322296,7.569422489441898,9.351952013367775,7.67705775105581
0.6800000000000004,6.573952642278597,7.645664857748098,9.342604735772145,7.57143351422519
0.6900000000000004,6.667331992179754,7.72085151163118,9.33326680078203,7.465914848836882
0.7000000000000004,6.7606180094051265,7.794983506277885,9.323938199059493,7.360501649372212
0.7100000000000004,6.8538107872407386,7.868061895820296,9.314618921275931,7.255193810417971
0.7200000000000004,6.9469104188793755,7.94008773333689,9.305308958112068,7.1499912266663115
0.7300000000000004,7.039916997420677,8.011062070853592,9.296008300257938,7.044893792914642
0.7400000000000004,7.132830615871229,8.080985959344828,9.286716938412884,6.939901404065518
0.7500000000000004,7.225651367144658,8.149860448734573,9.27743486328554,6.835013955126543
0.7600000000000005,7.318379344061722,8.217686587897406,9.268162065593835,6.73023134121026
0.7700000000000005,7.411014639350408,8.284465424659551,9.258898536064967,6.625553457534045
0.7800000000000005,7.503557345646017,8.350198005799932,9.249644265435405,6.520980199420007
0.7900000000000005,7.596007555491264,8.414885377051219,9.240399244450881,6.416511462294879
0.8000000000000005,7.688365361336365,8.478528583100868,9.231163463866372,6.3121471416899135
0.8100000000000005,7.780630855539136,8.541128667592174,9.221936914446095,6.207887133240783
