time,x,y,vx,vy,energy,angular_momentum
0,1,0,0,6.283185307179586,-19.739208802178716,6.283185307179586
0.001,0.9999802607911978,0.006283185307179587,-0.03947802795645686,6.2830612820729375,-19.73920880217864,6.283185307179586
0.002,0.9999210439440871,0.012566122564145875,-0.07895449733669727,6.282689211649741,-19.739208802178425,6.283185307179585
0.003,0.9998223517965245,0.01884856373047907,-0.11842784962604766,6.2820691106000535,-19.739208802178034,6.283185307179586
0.004,0.9996841882448351,0.025130260785345984,-0.1578965264329178,6.2812010034066565,-19.739208802177497,6.283185307179586
0.005,0.9995065587436587,0.031410965737292386,-0.19735896955033633,6.280084924344092,-19.739208802176822,6.283185307179586
0.006,0.9992894703057345,0.03769043063403417,-0.23681362101747905,6.278720917477307,-19.739208802175973,6.283185307179587
0.007,0.9990329315016238,0.043968407572247,-0.27625892318118755,6.277109036659914,-19.73920880217499,6.283185307179588
0.008,0.9987369524593721,0.050244648707354,-0.3156933187574755,6.27524934553206,-19.73920880217385,6.283185307179587
0.009000000000000001,0.9984015448641088,0.056518906263311124,-0.35511525089302065,6.273141917517923,-19.739208802172573,6.283185307179587
0.01,0.998026721957586,0.06279093254238985,-0.39452316322663933,6.2707868358228005,-19.739208802171127,6.283185307179587
0.011,0.9976124985376555,0.06906047993495673,-0.433915499950742,6.26818419342983,-19.73920880216954,6.283185307179586
0.012,0.9971588909576845,0.07532730092924951,-0.47329070587276684,6.265334093096315,-19.739208802167784,6.283185307179586
0.013000000000000001,0.9966659171259099,0.08159114812114936,-0.5126472264765886,6.262236647349666,-19.739208802165894,6.283185307179586
0.014,0.9961335965047313,0.08785177422394884,-0.5519835079839013,6.258891978482957,-19.73920880216384,6.283185307179586
0.015,0.9955619501099422,0.09410893207811527,-0.5912979974155713,6.255300218550094,-19.73920880216165,6.283185307179586
0.016,0.9949510005099003,0.10036237466104903,-0.6305891426529594,6.251461509360601,-19.7392088021593,6.283185307179586
0.017,0.9943007718246363,0.10661185509683647,-0.6698553924992081,6.2473760024740175,-19.739208802156803,6.283185307179586
0.018000000000000002,0.9936112897249018,0.11285712666599707,-0.709095196740493,6.243043859193915,-19.739208802154153,6.283185307179585
0.019,0.9928825814311553,0.1190979428152243,-0.7483070062072356,6.238465250561524,-19.73920880215135,6.283185307179585
0.02,0.9921146757124873,0.12533405716712012,-0.7874892728352737,6.233640357348979,-19.739208802148397,6.283185307179586
0.021,0.9913076028854848,0.13156522352992228,-0.8266404497269898,6.228569370052179,-19.73920880214529,6.283185307179587
0.022,0.9904613948130334,0.1377911959072245,-0.865758991212392,6.223252488883264,-19.73920880214203,6.283185307179587
0.023,0.98957608490306,0.1440117285076888,-0.9048433529101468,6.217689923762706,-19.739208802138613,6.283185307179588
0.024,0.9886517081072131,0.1502265757547499,-0.9438919917885615,6.211881894311021,-19.739208802135064,6.283185307179588
0.025,0.9876883009194829,0.15643549229631085,-0.9829033662265123,6.205828629840091,-19.73920880213136,6.283185307179587
0.026000000000000002,0.9866859013747601,0.1626382330144301,-1.0218759360743177,6.199530369344111,-19.739208802127507,6.283185307179587
0.027,0.9856445490473342,0.16883455303499909,-1.060808162714553,6.192987361490148,-19.739208802123503,6.283185307179587
0.028,0.9845642850493309,0.1750242077374104,-1.0996985091228042,6.1861998646083185,-19.73920880211935,6.283185307179586
0.029,0.9834451520290886,0.18120695276421572,-1.1385454399283603,6.1791681466815875,-19.739208802115048,6.283185307179587
0.03,0.9822871941694742,0.18738254403077356,-1.1773474214748383,6.171892485335184,-19.73920880211059,6.283185307179587
0.031,0.9810904571861389,0.1935507377348861,-1.2161029218807413,6.164373167825635,-19.739208802105992,6.283185307179587
0.032,0.9798549883257127,0.19971129036642485,-1.2548104110999474,6.15661049102942,-19.73920880210124,6.283185307179588
0.033,0.978580836363939,0.20586395871694493,-1.2934683609821243,6.1486047614312485,-19.739208802096343,6.283185307179587
0.034,0.9772680516037484,0.21200849988928733,-1.3320752453330704,6.1403562951119515,-19.73920880209129,6.283185307179587
0.035,0.9759166858732728,0.21814467130716883,-1.3706295399749784,6.131865417736,-19.739208802086093,6.283185307179586
0.036000000000000004,0.9745267925237985,0.22427223072475932,-1.4091297228066182,6.123132464538642,-19.739208802080757,6.283185307179586
0.037,0.9730984264276596,0.2303909362362461,-1.4475742738634392,6.114157780312663,-19.739208802075257,6.283185307179586
0.038,0.9716316439760716,0.23650054628538464,-1.4859616753775868,6.104941719394766,-19.739208802069623,6.283185307179587
0.039,0.9701265030769044,0.24260081967503563,-1.5242904118378338,6.095484645651579,-19.73920880206383,6.283185307179586
0.04,0.968583063152396,0.2486915155766878,-1.56255897004942,6.085786932465284,-19.739208802057885,6.283185307179587
0.041,0.9670013851368056,0.2547723935399662,-1.6007658391938036,6.075848962718868,-19.73920880205181,6.283185307179586
0.042,0.9653815314740083,0.2608432135021256,-1.6389095108883158,6.065671128781003,-19.739208802045578,6.283185307179586
0.043000000000000003,0.963723566115029,0.26690373579752824,-1.6769884792457208,6.055253832490549,-19.73920880203921,6.283185307179587
0.044,0.9620275545155169,0.27295372116710664,-1.7150012409336766,6.044597485140682,-19.73920880203269,6.283185307179586
0.045,0.9602935636331617,0.27899293076780957,-1.752946295234095,6.033702507462651,-19.739208802026013,6.283185307179587
0.046,0.9585216619250487,0.28502112618203196,-1.7908221441023984,6.022569329609161,-19.739208802019203,6.283185307179586
0.047,0.9567119193449568,0.2910380694270279,-1.8286272922266702,6.011198391137383,-19.739208802012246,6.283185307179586
0.048,0.9548644073405954,0.29704352296430675,-1.866360247086699,5.999590140991596,-19.73920880200514,6.283185307179586
0.049,0.9529791988507834,0.30303724970901114,-1.9040195190129101,5.9877450374854515,-19.739208801997894,6.283185307179586
0.05,0.9510563683025696,0.30901901303927765,-1.9416036212451868,5.975663548283878,-19.73920880199049,6.283185307179586
0.051000000000000004,0.949095991608293,0.3149885768055789,-1.9791110699915744,5.963346150384605,-19.739208801982958,6.283185307179586
0.052000000000000005,0.9470981461625864,0.3209457053400469,-2.016540384486869,5.950793330099329,-19.739208801975273,6.283185307179586
